hgnc_id,logFC,Pvalue
TADA1,0.399739246453815,1.4459438179101E-04
RUFY2,0.567530335794433,1.4534318507625E-04
GLIS2,0.367795374675836,0.00014612014246681000
PUM3,0.301682916899659,1.4619001281357E-04
ATF4,0.224921042315012,1.4643835370299E-04
LRCH1,0.459482357429461,1.4644246994287E-04
IP6K1,-0.260801246140115,1.4664428894864E-04
ZNF586,0.487476034488844,1.4702143148186E-04
NFKBIE,0.51001331910288,1.4873315947615E-04
GTPBP4,0.26827931100532,1.4991388381091E-04
CEBPA,-0.479131170245221,1.5215685363918E-04
CDC42EP4,-0.411481771089538,1.5410008643925E-04
TPM3P9,0.587361261859245,1.5500117839144E-04
IRF8,0.674065425947394,1.5792977128527E-04
CNOT4,0.402111042373796,1.5799018947169E-04
EPB41L3,-0.284690023534436,1.5804868437697E-04
AXIN2,-0.42099972047428,1.5973969218352E-04
MBIP,0.410909464812084,1.6068094923652E-04
ALOX5,0.652068577017069,1.6097670486441E-04
GALE,0.290545725411163,1.6179391338406E-04
IFIT3,1.67642838560873,1.6324914980469E-04
RAD51,0.404881577455305,1.647200879741E-04
NBPF11,0.532227367113051,1.6488369533497E-04
TTR,0.709839865656103,1.6596242128692E-04
ADAMTS2,-0.539985185239022,1.6719176179803E-04
COL11A1,-0.348433181335136,1.6867314900928E-04
TFPI,0.292017382590027,1.6923041284669E-04
RNF138,0.357699483477087,1.6994659803854E-04
MAFF,0.655367382676991,1.7109229203691E-04
POLR2H,0.303222991325357,1.7393091603327E-04
RASSF3,0.415601992626375,1.782006654889E-04
ZNF189,0.381598245782671,1.8118604718317E-04
FBXW7,0.328998651027643,1.8380836145988E-04
LINC02595,1.38902727657202,1.8492066966233E-04
CHD2,0.278552286332402,1.8668322284503E-04
SPSB4,-0.25197002355756,1.8856219658185E-04
PSKH1,-0.274919019502362,1.8944042429218E-04
COL3A1,-0.49031363947709,1.9108716019109E-04
ACTA2,0.559780826916589,1.92219016595E-04
STIL,0.366194092461645,1.92976574081E-04
TUBB2B,0.279065598246658,1.9340155211547E-04
ABCD1,-0.371982998740804,1.963449956506E-04
TUFT1,0.361251337589127,1.9953583645124E-04
ANXA1,0.368466770060797,2.0273801946024E-04
WNT9B,0.668406414357745,2.0386370296074E-04
CDKN2AIP,0.462260781520763,2.0494133796814E-04
ATAD2,0.306334282845027,2.057692586312E-04
CARD10,0.378537746283703,2.0755300079122E-04
PROSER2,0.336132155173853,2.0793390861672E-04
SIX4,0.329388363323787,2.0996216488746E-04
NR1D1,0.844616679824591,2.131062468938E-04
EEF1A1,-0.16214399903334,2.1416996965895E-04
IGSF9,-0.347148922636336,2.1829835898008E-04
CCNG2,0.310560669658635,2.2052632566633E-04
SOWAHC,0.481201688556049,2.2187711289199E-04
CCR7,-1.88313110827952,2.2212667102255E-04
SPHK2,-0.329740030611448,2.2679087896302E-04
FAM83D,0.321050884842,2.2959644247443E-04
ASS1,-0.474807344201558,2.3053884454157E-04
PAWR,0.287286242799631,2.3353383490986E-04
BGN,-1.40832042305322,2.3522653039588E-04
TP53INP1,-0.269594974335417,2.3528613085E-04
NDRG2,-0.322652851349406,2.3826985802189E-04
MYBBP1A,0.255625159213606,2.3913491820364E-04
PARP9,0.572954935392381,2.4019767297312E-04
ANGPT4,-1.92014619308472,2.4293276258196E-04
HES1,0.399344272349007,2.4410646540111E-04
VGLL1,0.292804590468768,2.4517674470207E-04
INPPL1,-0.239086397820408,2.4723733335777E-04
MACC1,0.349540180987623,2.5001195036377E-04
RELN,-1.00045196878208,2.5072658521475E-04
DLL4,2.53798051288156,2.5164309280077E-04
